Arbrook,FrameTime,SetupTime,BGFX,FrameTime,Native,FrameTime,SetupTime,
 ,0.0126, , ,0.1989, ,0.0047, ,
 ,0.0065, , ,0.2075, ,0.0048, ,
 ,0.0065, , ,0.2056, ,0.0047, ,
 ,0.0064, , ,0.1984, ,0.0047, ,
 ,0.0064, , ,0.2013, ,0.0047, ,
 ,0.0064, , ,0.1988, ,0.0047, ,
 ,0.0064, , ,0.1989, ,0.0048, ,
 ,0.0065, , ,0.1986, ,0.0047, ,
 ,0.0064, , ,0.1988, ,0.0046, ,
 ,0.0063, , ,0.199, ,0.0046, ,
 ,0.0064, , ,0.202, ,0.0046, ,
 ,0.0064, , ,0.1993, ,0.0048, ,
 ,0.0063, , ,0.2056, ,0.0047, ,
 ,0.0064, , ,0.1999, ,0.0047, ,
 ,0.0064, , ,0.1972, ,0.0048, ,
 ,0.0065, , ,0.1977, ,0.0047, ,
 ,0.0082, , ,0.2035, ,0.0047, ,
 ,0.008, , ,0.1985, ,0.0048, ,
 ,0.0065, , ,0.203, ,0.0047, ,
 ,0.0064, , ,0.1977, ,0.0046, ,
 ,0.0064, , ,0.2004, ,0.0047, ,
 ,0.0065, , ,0.2125, ,0.0047, ,
 ,0.0064, , ,0.2014, ,0.0047, ,
 ,0.0063, , ,0.2043, ,0.0047, ,
 ,0.0065, , ,0.1988, ,0.0047, ,
 ,0.0064, , ,0.2012, ,0.0048, ,
 ,0.0064, , ,0.2065, ,0.0047, ,
 ,0.0064, , ,0.1992, ,0.0047, ,
 ,0.0064, , ,0.202, ,0.0048, ,
 ,0.0064, , ,0.1993, ,0.0046, ,
 ,0.0064, , ,0.1995, ,0.0047, ,
 ,0.0064, , ,0.1981, ,0.0047, ,
 ,0.0065, , ,0.2014, ,0.0048, ,
 ,0.0066, , ,0.1995, ,0.0046, ,
 ,0.0065, , ,0.1971, ,0.0047, ,
 ,0.0064, , ,0.2039, ,0.005, ,
 ,0.0064, , ,0.2047, ,0.0046, ,
 ,0.0064, , ,0.1991, ,0.0047, ,
 ,0.0065, , ,0.1986, ,0.0046, ,
 ,0.0064, , ,0.1982, ,0.0046, ,
 ,0.0064, , ,0.2445, ,0.0049, ,
 ,0.0064, , ,0.198, ,0.0052, ,
 ,0.0064, , ,0.1979, ,0.005, ,
 ,0.0063, , ,0.198, ,0.0061, ,
 ,0.0065, , ,0.3153, ,0.0048, ,
 ,0.0064, , ,0.2136, ,0.0047, ,
 ,0.0064, , ,0.2, ,0.005, ,
 ,0.0065, , ,0.1903, ,0.0048, ,
 ,0.0064, , ,0.3619, ,0.0047, ,
 ,0.0065, , ,0.2065, ,0.0048, ,
 ,0.0064, , ,0.2095, ,0.0047, ,
 ,0.0064, , ,0.2046, ,0.0048, ,
 ,0.0065, , ,0.227, ,0.005, ,
 ,0.0064, , ,0.2, ,0.0049, ,
 ,0.0064, , ,0.2044, ,0.0047, ,
 ,0.0063, , ,0.2017, ,0.0048, ,
 ,0.0065, , ,0.1978, ,0.0047, ,
 ,0.0081, , ,0.1982, ,0.0047, ,
 ,0.0078, , ,0.1991, ,0.0047, ,
 ,0.0065, , ,0.2006, ,0.0048, ,
 ,0.0063, , ,0.2004, ,0.0046, ,
 ,0.0064, , ,0.1977, ,0.0047, ,
 ,0.0064, , ,0.1974, ,0.0048, ,
 ,0.0064, , ,0.199, ,0.0047, ,
 ,0.0064, , ,0.1981, ,0.0047, ,
 ,0.0065, , ,0.198, ,0.0051, ,
 ,0.0065, , ,0.2009, ,0.0047, ,
 ,0.0065, , ,0.1975, ,0.0047, ,
 ,0.0065, , ,0.2002, ,0.0048, ,
 ,0.0064, , ,0.1986, ,0.0047, ,
 ,0.0065, , ,0.2073, ,0.0048, ,
 ,0.0064, , ,0.1985, ,0.0047, ,
 ,0.0064, , ,0.1979, ,0.0048, ,
 ,0.0064, , ,0.198, ,0.0047, ,
 ,0.0064, , ,0.2006, ,0.0047, ,
 ,0.0064, , ,0.1984, ,0.0048, ,
 ,0.0065, , ,0.1998, ,0.0047, ,
 ,0.0065, , ,0.1975, ,0.0047, ,
 ,0.0081, , ,0.208, ,0.0047, ,
 ,0.008, , ,0.1981, ,0.0048, ,
 ,0.0066, , ,0.199, ,0.0048, ,
 ,0.0064, , ,0.2015, ,0.0047, ,
 ,0.0065, , ,0.1982, ,0.0047, ,
 ,0.0065, , ,0.2015, ,0.0047, ,
 ,0.0064, , ,0.2007, ,0.0048, ,
 ,0.0065, , ,0.2019, ,0.0047, ,
 ,0.0064, , ,0.1977, ,0.0047, ,
 ,0.0063, , ,0.198, ,0.0048, ,
 ,0.0065, , ,0.2035, ,0.0046, ,
 ,0.0063, , ,0.2005, ,0.0048, ,
 ,0.0064, , ,0.1992, ,0.0049, ,
 ,0.0064, , ,0.1988, ,0.0048, ,
 ,0.0065, , ,0.2032, ,0.0048, ,
 ,0.0064, , ,0.1983, ,0.0048, ,
 ,0.0065, , ,0.1972, ,0.005, ,
 ,0.0064, , ,0.1977, ,0.0047, ,
 ,0.0064, , ,0.2459, ,0.0047, ,
 ,0.0064, , ,0.1994, ,0.0048, ,
 ,0.0065, , ,0.2005, ,0.0048, ,
 ,0.0064, , ,0.1978, ,0.0047, ,
 ,0.0063, , ,0.2035, ,0.0047, ,
 ,0.0063, , ,0.1986, ,0.0048, ,
 ,0.0063, , ,0.2005, ,0.0047, ,
 ,0.0064, , ,0.2129, ,0.0047, ,
 ,0.0064, , ,0.2172, ,0.0047, ,
 ,0.0065, , ,0.2126, ,0.0047, ,
 ,0.0065, , ,0.2046, ,0.0047, ,
 ,0.0064, , ,0.1999, ,0.0047, ,
 ,0.0064, , ,0.2054, ,0.0048, ,
 ,0.0064, , ,0.2081, ,0.0047, ,
 ,0.0064, , ,0.198, ,0.0047, ,
 ,0.0064, , ,0.1981, ,0.0047, ,
 ,0.0064, , ,0.1983, ,0.0047, ,
 ,0.0081, , ,0.1992, ,0.0047, ,
 ,0.008, , ,0.1984, ,0.0047, ,
 ,0.0078, , ,0.1982, ,0.0047, ,
 ,0.0078, , ,0.2014, ,0.0048, ,
 ,0.0066, , ,0.1987, ,0.0047, ,
 ,0.0064, , ,0.2023, ,0.0048, ,
 ,0.0066, , ,0.1978, ,0.0049, ,
 ,0.0083, , ,0.1984, ,0.0047, ,
 ,0.0101, , ,0.199, ,0.0049, ,
 ,0.0066, , ,0.2018, ,0.0048, ,
 ,0.0069, , ,0.2036, ,0.0047, ,
 ,0.0069, , ,0.2023, ,0.0046, ,
 ,0.0067, , ,0.1969, ,0.0048, ,
 ,0.0065, , ,0.1983, ,0.0048, ,
 ,0.0067, , ,0.198, ,0.0047, ,
 ,0.0065, , ,0.1995, ,0.0047, ,
 ,0.0068, , ,0.1982, ,0.0048, ,
 ,0.0065, , ,0.1986, ,0.0046, ,
 ,0.0066, , ,0.2002, ,0.0048, ,
 ,0.0065, , ,0.2006, ,0.0046, ,
 ,0.0066, , ,0.1986, ,0.0047, ,
 ,0.007, , ,0.1981, ,0.0047, ,
 ,0.0092, , ,0.2343, ,0.0047, ,
 ,0.0069, , ,0.1989, ,0.0046, ,
 ,0.0066, , ,0.1987, ,0.0047, ,
 ,0.0069, , ,0.1981, ,0.0048, ,
 ,0.0066, , ,0.2007, ,0.0047, ,
 ,0.0064, , ,0.2057, ,0.0047, ,
 ,0.0064, , ,0.198, ,0.0046, ,
 ,0.0065, , ,0.1985, ,0.0047, ,
 ,0.0063, , ,0.1989, ,0.0047, ,
 ,0.0064, , ,0.1983, ,0.0047, ,
 ,0.0064, , ,0.1979, ,0.0048, ,
 ,0.0064, , ,0.2137, ,0.0046, ,
 ,0.0065, , ,0.2005, ,0.0047, ,
 ,0.0064, , ,0.2006, ,0.0047, ,
 ,0.0064, , ,0.1977, ,0.0048, ,
 ,0.0064, , ,0.2005, ,0.0047, ,
 ,0.0064, , ,0.1988, ,0.0047, ,
 ,0.0064, , ,0.1979, ,0.0047, ,
 ,0.0063, , ,0.1978, ,0.0047, ,
 ,0.0064, , ,0.2147, ,0.0047, ,
 ,0.0064, , ,0.1992, ,0.0047, ,
 ,0.0064, , ,0.2459, ,0.0048, ,
 ,0.0064, , ,0.1978, ,0.0046, ,
 ,0.0064, , ,0.1983, ,0.0047, ,
 ,0.0064, , ,0.2111, ,0.0046, ,
 ,0.0064, , ,0.2043, ,0.0047, ,
 ,0.0064, , ,0.2016, ,0.0048, ,
 ,0.0064, , ,0.1979, ,0.0047, ,
 ,0.0064, , ,0.1979, ,0.0048, ,
 ,0.0064, , ,0.2002, ,0.0047, ,
 ,0.0063, , ,0.2007, ,0.0047, ,
 ,0.0063, , ,0.2088, ,0.0046, ,
 ,0.0064, , ,0.2858, ,0.0047, ,
 ,0.0065, , ,0.1943, ,0.0048, ,
 ,0.0064, , ,0.5918, ,0.0046, ,
 ,0.0064, , ,0.2112, ,0.0047, ,
 ,0.0064, , ,0.1942, ,0.0048, ,
 ,0.0064, , ,0.2067, ,0.0047, ,
 ,0.0064, , ,0.1967, ,0.0047, ,
 ,0.0064, , ,0.2107, ,0.0048, ,
 ,0.0063, , ,0.196, ,0.005, ,
 ,0.0063, , ,0.2048, ,0.0049, ,
 ,0.0063, , ,0.1977, ,0.0048, ,
 ,0.0065, , ,0.199, ,0.0047, ,
 ,0.0064, , ,0.199, ,0.0046, ,
 ,0.0064, , ,0.2008, ,0.0047, ,
 ,0.0064, , ,0.2022, ,0.0048, ,
 ,0.0064, , ,0.1985, ,0.0047, ,
 ,0.0064, , ,0.1982, ,0.0046, ,
 ,0.0064, , ,0.1983, ,0.0048, ,
 ,0.0064, , ,0.2003, ,0.0047, ,
 ,0.0064, , ,0.1974, ,0.0048, ,
 ,0.0065, , ,0.1987, ,0.0047, ,
 ,0.0065, , ,0.2007, ,0.0046, ,
 ,0.0064, , ,0.1981, ,0.0047, ,
 ,0.0063, , ,0.1979, ,0.0046, ,
 ,0.0064, , ,0.219, ,0.0046, ,
 ,0.0107, , ,0.1977, ,0.0047, ,
 ,0.0066, , ,0.2038, ,0.0046, ,
 ,0.0068, , ,0.2006, ,0.0088, ,
 ,0.0065, , ,0.1981, ,0.0047, ,
 ,0.0066, , ,0.3007, ,0.0047, ,
 ,0.0065, , ,0.217, ,0.0048, ,
 ,0.0065, , ,0.2059, ,0.0047, ,
 ,0.0064, , ,0.2006, ,0.0046, ,
 ,0.0066, , ,0.1997, ,0.0047, ,
 ,0.0063, , ,0.1986, ,0.0062, ,
 ,0.0064, , ,0.1989, ,0.0049, ,
 ,0.0064, , ,0.1987, ,0.005, ,
 ,0.0064, , ,0.2005, ,0.0048, ,
 ,0.0064, , ,0.214, ,0.0047, ,
 ,0.0065, , ,0.1986, ,0.0047, ,
 ,0.0064, , ,0.1979, ,0.0047, ,
 ,0.0064, , ,0.1992, ,0.0047, ,
 ,0.0064, , ,0.1995, ,0.0069, ,
 ,0.0065, , ,0.1981, ,0.0047, ,
 ,0.0065, , ,0.2453, ,0.0047, ,
 ,0.0065, , ,0.2076, ,0.0047, ,
 ,0.0065, , ,0.1985, ,0.0047, ,
 ,0.0065, , ,0.2016, ,0.0048, ,
 ,0.0065, , ,0.1982, ,0.0064, ,
 ,0.0064, , ,0.1981, ,0.0089, ,
 ,0.0063, , ,0.1989, ,0.0052, ,
 ,0.0064, , ,0.1977, ,0.0053, ,
 ,0.0066, , ,0.1978, ,0.0078, ,
 ,0.0065, , ,0.2044, ,0.0051, ,
 ,0.0064, , ,0.1988, ,0.0051, ,
 ,0.0064, , ,0.1978, ,0.0048, ,
 ,0.0065, , ,0.1985, ,0.005, ,
 ,0.0064, , ,0.1982, ,0.0049, ,
 ,0.0063, , ,0.1986, ,0.0051, ,
 ,0.0066, , ,0.3109, ,0.0049, ,
 ,0.0064, , ,0.2629, ,0.0049, ,
 ,0.0065, , ,0.2171, ,0.0047, ,
 ,0.0065, , ,0.1958, ,0.0048, ,
 ,0.0064, , ,0.4399, ,0.0046, ,
 ,0.0065, , ,0.2097, ,0.0047, ,
 ,0.0065, , ,0.1991, ,0.0072, ,
 ,0.0065, , ,0.1994, ,0.0063, ,
 ,0.0065, , ,0.1995, ,0.0049, ,
 ,0.0064, , ,0.1989, ,0.0048, ,
 ,0.0064, , ,0.2017, ,0.0048, ,
 ,0.0064, , ,0.1991, ,0.0048, ,
 ,0.0064, , ,0.1991, ,0.0048, ,
 ,0.0064, , ,0.1993, ,0.0048, ,
 ,0.0063, , ,0.1998, ,0.0048, ,
 ,0.0064, , ,0.1984, ,0.0048, ,
 ,0.0064, , ,0.199, ,0.0049, ,
 ,0.0063, , ,0.1984, ,0.0047, ,
 ,0.0065, , ,0.2019, ,0.0048, ,
 ,0.0064, , ,0.2046, ,0.0052, ,
 ,0.0065, , ,0.199, ,0.0049, ,
 ,0.0065, , ,0.1986, ,0.008, ,
 ,0.0065, , ,0.2508, ,0.0077, ,
 ,0.0064, , ,0.2019, ,0.0088, ,
 ,0.0065, , ,0.2031, ,0.0078, ,
 ,0.0087, , ,0.2008, ,0.0077, ,
 ,0.0116, , ,0.2016, ,0.0079, ,
 ,0.0065, , ,0.1985, ,0.0078, ,
 ,0.0066, , ,0.1981, ,0.0079, ,
 ,0.0067, , ,0.1992, ,0.0077, ,
 ,0.0065, , ,0.2012, ,0.0077, ,
 ,0.0067, , ,0.1984, ,0.0078, ,
 ,0.0065, , ,0.1984, ,0.005, ,
 ,0.0069, , ,0.1994, ,0.0048, ,
 ,0.0066, , ,0.2132, ,0.0048, ,
 ,0.0066, , ,0.1988, ,0.0048, ,
 ,0.0067, , ,0.1982, ,0.0048, ,
 ,0.0063, , ,0.1994, ,0.0051, ,
 ,0.0067, , ,0.2049, ,0.0049, ,
 ,0.0066, , ,0.1987, ,0.0049, ,
 ,0.0064, , ,0.199, ,0.0049, ,
 ,0.0065, , ,0.2498, ,0.0048, ,
 ,0.0065, , ,0.202, ,0.0059, ,
 ,0.0087, , ,0.2121, ,0.0048, ,
 ,0.0065, , ,0.2005, ,0.0052, ,
 ,0.0066, , ,0.1986, ,0.0048, ,
 ,0.0064, , ,0.2028, ,0.0048, ,
 ,0.0064, , ,0.2, ,0.0094, ,
 ,0.0065, , ,0.1991, ,0.0048, ,
 ,0.0064, , ,0.2168, ,0.0049, ,
 ,0.0064, , ,0.2096, ,0.0049, ,
 ,0.0064, , ,0.2007, ,0.0048, ,
 ,0.0064, , ,0.1994, ,0.0051, ,
 ,0.0064, , ,0.1984, ,0.0048, ,
 ,0.0067, , ,0.2081, ,0.0047, ,
 ,0.0064, , ,0.1983, ,0.0048, ,
 ,0.0064, , ,0.1978, ,0.0047, ,
 ,0.0064, , ,0.2024, ,0.0049, ,
 ,0.0064, , ,0.3426, ,0.0061, ,
 ,0.0064, , ,0.2461, ,0.0059, ,
 ,0.0064, , ,0.2241, ,0.0048, ,
 ,0.0064, , ,0.2203, ,0.0047, ,
 ,0.0065, , ,0.2023, ,0.0046, ,
 ,0.0064, , ,0.2073, ,0.0047, ,
 ,0.0063, , ,0.1944, ,0.0046, ,
 ,0.0064, , ,0.1922, ,0.0047, ,
