Arbrook,Drawing Time,BGFX,Drawing Time,Native,Drawing Time,
 ,0.0052, ,0.1762, ,0.0039,
 ,0.0042, ,0.1671, ,0.004,
 ,0.0039, ,0.1578, ,0.0036,
 ,0.0041, ,0.1421, ,0.0036,
 ,0.0043, ,0.1452, ,0.0037,
 ,0.004, ,0.1785, ,0.004,
 ,0.0036, ,0.1722, ,0.0037,
 ,0.0037, ,0.22, ,0.004,
 ,0.0038, ,0.1691, ,0.0038,
 ,0.0039, ,0.1761, ,0.0039,
 ,0.0042, ,0.1735, ,0.0041,
 ,0.0037, ,0.168, ,0.0037,
 ,0.0044, ,0.1685, ,0.0038,
 ,0.0039, ,0.1794, ,0.0039,
 ,0.004, ,0.1688, ,0.0037,
 ,0.0037, ,0.1685, ,0.0036,
 ,0.0043, ,0.2342, ,0.0036,
 ,0.0039, ,0.2111, ,0.0038,
 ,0.0036, ,0.212, ,0.0035,
 ,0.0036, ,0.2074, ,0.0035,
 ,0.0042, ,0.1722, ,0.0036,
 ,0.0038, ,0.1713, ,0.0038,
 ,0.0039, ,0.1702, ,0.0038,
 ,0.0036, ,0.1984, ,0.0035,
 ,0.0041, ,0.1747, ,0.0037,
 ,0.0037, ,0.1768, ,0.0038,
 ,0.0037, ,0.1707, ,0.0035,
 ,0.0037, ,0.1693, ,0.0035,
 ,0.0044, ,0.1685, ,0.0036,
 ,0.0038, ,0.1705, ,0.004,
 ,0.0041, ,0.1681, ,0.0038,
 ,0.0038, ,0.1671, ,0.0036,
 ,0.0043, ,0.1675, ,0.0036,
 ,0.0039, ,0.1676, ,0.0037,
 ,0.0037, ,0.1743, ,0.0035,
 ,0.0037, ,0.1686, ,0.004,
 ,0.0043, ,0.1683, ,0.0039,
 ,0.004, ,0.1668, ,0.0044,
 ,0.0036, ,0.1739, ,0.004,
 ,0.0037, ,0.1682, ,0.0038,
 ,0.0042, ,0.1682, ,0.0037,
 ,0.0039, ,0.1931, ,0.0038,
 ,0.0038, ,0.1717, ,0.0036,
 ,0.0037, ,0.1674, ,0.0035,
 ,0.0037, ,0.1746, ,0.0037,
 ,0.0039, ,0.1677, ,0.0038,
 ,0.0036, ,0.1759, ,0.0038,
 ,0.0035, ,0.1694, ,0.0036,
 ,0.0043, ,0.1679, ,0.0036,
 ,0.0038, ,0.1675, ,0.004,
 ,0.0037, ,0.1698, ,0.0037,
 ,0.0038, ,0.1693, ,0.0035,
 ,0.0042, ,0.1714, ,0.0036,
 ,0.0037, ,0.1674, ,0.0037,
 ,0.0035, ,0.1693, ,0.0037,
 ,0.0036, ,0.1674, ,0.0036,
 ,0.0042, ,0.1708, ,0.0037,
 ,0.0039, ,0.1675, ,0.0038,
 ,0.0035, ,0.1703, ,0.0037,
 ,0.0037, ,0.1684, ,0.0037,
 ,0.0039, ,0.1755, ,0.0036,
 ,0.0037, ,0.1677, ,0.0038,
 ,0.0037, ,0.1678, ,0.0037,
 ,0.0037, ,0.1675, ,0.0034,
 ,0.0038, ,0.1668, ,0.0036,
 ,0.0039, ,0.1686, ,0.004,
 ,0.0037, ,0.1697, ,0.0035,
 ,0.0037, ,0.1677, ,0.0034,
 ,0.004, ,0.1685, ,0.0036,
 ,0.0037, ,0.1693, ,0.004,
 ,0.0037, ,0.1668, ,0.0037,
 ,0.0038, ,0.2558, ,0.0035,
 ,0.0042, ,0.2298, ,0.0036,
 ,0.004, ,0.19, ,0.0041,
 ,0.0036, ,0.1457, ,0.0037,
 ,0.0037, ,0.2554, ,0.0041,
 ,0.0038, ,0.1847, ,0.004,
 ,0.0036, ,0.1769, ,0.0041,
 ,0.0036, ,0.1696, ,0.0037,
 ,0.0036, ,0.1774, ,0.0035,
 ,0.0047, ,0.1778, ,0.0036,
 ,0.0039, ,0.1691, ,0.0038,
 ,0.0041, ,0.1714, ,0.0037,
 ,0.004, ,0.1682, ,0.0035,
 ,0.0041, ,0.1921, ,0.0036,
 ,0.0038, ,0.1709, ,0.004,
 ,0.0038, ,0.1671, ,0.0037,
 ,0.0036, ,0.1682, ,0.0036,
 ,0.0038, ,0.171, ,0.0036,
 ,0.0042, ,0.1674, ,0.0041,
 ,0.0037, ,0.1691, ,0.0035,
 ,0.0038, ,0.1669, ,0.0035,
 ,0.004, ,0.168, ,0.0035,
 ,0.004, ,0.2001, ,0.0037,
 ,0.004, ,0.1681, ,0.0037,
 ,0.0037, ,0.169, ,0.0035,
 ,0.0042, ,0.1729, ,0.0036,
 ,0.004, ,0.1963, ,0.004,
 ,0.0037, ,0.1723, ,0.0036,
 ,0.0037, ,0.1705, ,0.0045,
 ,0.0039, ,0.1675, ,0.0042,
 ,0.0036, ,0.169, ,0.0053,
 ,0.0036, ,0.1681, ,0.0041,
 ,0.0037, ,0.1661, ,0.0041,
 ,0.0041, ,0.1677, ,0.0042,
 ,0.0041, ,0.17, ,0.0043,
 ,0.0037, ,0.1738, ,0.0045,
 ,0.0037, ,0.1664, ,0.0054,
 ,0.0038, ,0.1673, ,0.0041,
