Arbrook,FrameTime,SetupTime,Model Switch Time,BGFX,FrameTime,SetupTime,Model Switch Time,Native,FrameTime,SetupTime,Model Switch Time,
 ,0.0103, ,0.0069, ,0.9829, ,4e-04, ,0.0085, ,0.006,
 ,0.0089, ,0.0051, ,0.1411, ,4e-04, ,0.0068, ,0.0043,
 ,0.3222, ,0.3185, ,0.3643, ,4e-04, ,0.2972, ,0.2941,
 ,0.5386, ,0.5343, ,0.3615, ,4e-04, ,0.4948, ,0.4916,
 ,0.092, ,0.0881, ,0.142, ,4e-04, ,0.0619, ,0.0589,
 ,0.664, ,0.66, ,1.1842, ,4e-04, ,0.7504, ,0.747,
 ,0.0836, ,0.0797, ,0.1534, ,5e-04, ,0.0808, ,0.0778,
 ,0.0084, ,0.0049, ,0.1346, ,4e-04, ,0.0066, ,0.0041,
 ,0.0123, ,0.0087, ,0.5253, ,4e-04, ,0.0101, ,0.0077,
 ,1.1441, ,1.1402, ,0.9396, ,4e-04, ,1.2544, ,1.2507,
 ,0.1473, ,0.1434, ,0.1505, ,4e-04, ,0.1428, ,0.1398,
 ,0.0388, ,0.0354, ,0.4287, ,4e-04, ,0.0284, ,0.0257,
 ,0.0101, ,0.0067, ,0.5476, ,3e-04, ,0.0084, ,0.0058,
 ,0.0091, ,0.0058, ,0.1433, ,4e-04, ,0.0067, ,0.0043,
 ,0.3377, ,0.3339, ,0.36, ,4e-04, ,0.3245, ,0.3208,
 ,0.5138, ,0.5094, ,0.3509, ,4e-04, ,0.4673, ,0.4641,
 ,0.0654, ,0.0616, ,0.1422, ,4e-04, ,0.0607, ,0.0578,
 ,0.6682, ,0.6642, ,0.9342, ,3e-04, ,0.627, ,0.624,
 ,0.0848, ,0.0809, ,0.1847, ,4e-04, ,0.0802, ,0.0773,
 ,0.0203, ,0.005, ,0.1477, ,5e-04, ,0.0064, ,0.0039,
 ,0.0122, ,0.0086, ,0.6509, ,4e-04, ,0.01, ,0.0075,
 ,1.199, ,1.1947, ,0.9469, ,3e-04, ,1.1657, ,1.1624,
 ,0.155, ,0.151, ,0.1457, ,4e-04, ,0.1457, ,0.1427,
 ,0.0396, ,0.0354, ,0.3086, ,4e-04, ,0.0314, ,0.0281,
 ,0.0102, ,0.0067, ,0.5902, ,4e-04, ,0.0084, ,0.006,
 ,0.0106, ,0.0072, ,0.1423, ,4e-04, ,0.0068, ,0.0043,
 ,0.3386, ,0.3349, ,0.3832, ,4e-04, ,0.3049, ,0.3021,
 ,0.5191, ,0.5149, ,0.6778, ,4e-04, ,0.4854, ,0.4822,
 ,0.0698, ,0.0659, ,0.1414, ,7e-04, ,0.0635, ,0.0605,
 ,0.6788, ,0.6749, ,0.5061, ,5e-04, ,0.6626, ,0.6597,
 ,0.0851, ,0.0811, ,0.1507, ,4e-04, ,0.0809, ,0.0779,
 ,0.0105, ,0.0071, ,0.1429, ,4e-04, ,0.0065, ,0.0041,
 ,0.0121, ,0.0087, ,0.6872, ,4e-04, ,0.0104, ,0.0078,
 ,1.2685, ,1.2645, ,0.781, ,4e-04, ,1.2197, ,1.2165,
 ,0.1538, ,0.1497, ,0.1494, ,5e-04, ,0.1426, ,0.1395,
 ,0.0376, ,0.034, ,0.8535, ,4e-04, ,0.0281, ,0.0256,
 ,0.0139, ,0.0094, ,0.6137, ,4e-04, ,0.0085, ,0.006,
 ,0.0113, ,0.0078, ,0.1679, ,4e-04, ,0.0064, ,0.004,
 ,0.3782, ,0.3744, ,0.294, ,4e-04, ,0.2826, ,0.2798,
 ,0.5553, ,0.551, ,0.2567, ,4e-04, ,0.4649, ,0.4617,
 ,0.0691, ,0.0631, ,0.1418, ,4e-04, ,0.0638, ,0.0608,
 ,0.795, ,0.7911, ,0.9233, ,4e-04, ,0.6293, ,0.6263,
 ,0.0848, ,0.0809, ,0.1422, ,4e-04, ,0.0813, ,0.0784,
 ,0.0158, ,0.0053, ,0.1408, ,4e-04, ,0.0063, ,0.0039,
