Arbrook,Drawing Time,BGFX,Drawing Time,Native,Drawing Time,
 ,0.0024, ,0.1898, ,0.0013,
 ,0.0024, ,0.1739, ,0.0013,
 ,0.0022, ,0.1693, ,0.0014,
 ,0.0022, ,0.1703, ,0.0013,
 ,0.0022, ,0.1653, ,0.0014,
 ,0.0024, ,0.163, ,0.0013,
 ,0.0022, ,0.1682, ,0.0013,
 ,0.0023, ,0.1656, ,0.0013,
 ,0.0022, ,0.1637, ,0.0013,
 ,0.0022, ,0.1627, ,0.0013,
 ,0.0021, ,0.1633, ,0.0015,
 ,0.0023, ,0.167, ,0.0013,
 ,0.0022, ,0.1669, ,0.0015,
 ,0.0022, ,0.1631, ,0.0013,
 ,0.0022, ,0.1632, ,0.0013,
 ,0.0023, ,0.1633, ,0.0013,
 ,0.0022, ,0.1665, ,0.0013,
 ,0.0023, ,0.1686, ,0.0014,
 ,0.0023, ,0.163, ,0.0013,
 ,0.0022, ,0.1645, ,0.0013,
 ,0.0022, ,0.163, ,0.0013,
 ,0.0022, ,0.1666, ,0.0015,
 ,0.0022, ,0.1643, ,0.0014,
 ,0.0022, ,0.1632, ,0.0013,
 ,0.0023, ,0.163, ,0.0014,
 ,0.0022, ,0.1654, ,0.0013,
 ,0.0022, ,0.212, ,0.0013,
 ,0.0022, ,0.173, ,0.0014,
 ,0.0022, ,0.1638, ,0.0013,
 ,0.0021, ,0.1627, ,0.0014,
 ,0.0023, ,0.1657, ,0.0013,
 ,0.0022, ,0.1622, ,0.0014,
 ,0.0022, ,0.1629, ,0.0014,
 ,0.0022, ,0.1651, ,0.0013,
 ,0.0022, ,0.1682, ,0.0014,
 ,0.0022, ,0.1698, ,0.0013,
 ,0.0026, ,0.1636, ,0.0014,
 ,0.0024, ,0.163, ,0.0013,
 ,0.0022, ,0.1636, ,0.0013,
 ,0.0022, ,0.1697, ,0.0013,
 ,0.0022, ,0.1639, ,0.0018,
 ,0.0022, ,0.1634, ,0.0016,
 ,0.0022, ,0.1716, ,0.0014,
 ,0.0022, ,0.1672, ,0.0014,
 ,0.0022, ,0.1667, ,0.0014,
 ,0.0024, ,0.1637, ,0.0014,
 ,0.0022, ,0.1621, ,0.0013,
 ,0.0022, ,0.1634, ,0.0013,
 ,0.0022, ,0.1653, ,0.0014,
 ,0.0023, ,0.1782, ,0.0013,
 ,0.0022, ,0.163, ,0.0013,
 ,0.0022, ,0.1602, ,0.0013,
 ,0.0022, ,0.1569, ,0.0013,
 ,0.0021, ,0.1346, ,0.0013,
 ,0.0022, ,0.2055, ,0.0014,
 ,0.0022, ,0.1734, ,0.0014,
 ,0.0021, ,0.1634, ,0.0013,
 ,0.0022, ,0.1674, ,0.0014,
 ,0.0022, ,0.1645, ,0.0014,
 ,0.0022, ,0.1645, ,0.0014,
 ,0.0021, ,0.1625, ,0.0013,
 ,0.0022, ,0.1661, ,0.0013,
 ,0.0022, ,0.1659, ,0.0014,
 ,0.0022, ,0.1626, ,0.0014,
 ,0.0021, ,0.1657, ,0.0014,
 ,0.0021, ,0.1642, ,0.0013,
 ,0.0021, ,0.1656, ,0.0014,
 ,0.0022, ,0.1653, ,0.0014,
 ,0.0022, ,0.1623, ,0.0013,
 ,0.0022, ,0.1623, ,0.0014,
 ,0.0022, ,0.1632, ,0.0014,
 ,0.0022, ,0.2328, ,0.0013,
 ,0.0022, ,0.2058, ,0.0014,
 ,0.0022, ,0.1659, ,0.0014,
 ,0.0021, ,0.1656, ,0.0013,
 ,0.0023, ,0.1705, ,0.0014,
 ,0.0022, ,0.1657, ,0.0014,
 ,0.0022, ,0.1646, ,0.0013,
 ,0.0023, ,0.1666, ,0.0014,
 ,0.0022, ,0.1669, ,0.0014,
 ,0.0022, ,0.164, ,0.0014,
 ,0.0022, ,0.1639, ,0.0014,
 ,0.0022, ,0.1641, ,0.0013,
 ,0.0022, ,0.1652, ,0.0014,
 ,0.0022, ,0.1744, ,0.0013,
 ,0.0022, ,0.1625, ,0.0014,
 ,0.0022, ,0.1636, ,0.0014,
 ,0.0022, ,0.1631, ,0.0014,
 ,0.0022, ,0.1655, ,0.0013,
 ,0.0022, ,0.165, ,0.0014,
 ,0.0022, ,0.1634, ,0.0014,
 ,0.0022, ,0.1646, ,0.0013,
 ,0.0022, ,0.1637, ,0.0014,
 ,0.0022, ,0.2289, ,0.0013,
 ,0.0022, ,0.1662, ,0.0013,
 ,0.0027, ,0.1646, ,0.0013,
 ,0.0025, ,0.1629, ,0.0013,
 ,0.0023, ,0.1652, ,0.0013,
 ,0.0021, ,0.1634, ,0.0013,
 ,0.0022, ,0.1641, ,0.0013,
 ,0.0022, ,0.1693, ,0.0013,
