Arbrook,Model Switch Time,BGFX,Model Switch Time,Native,Model Switch Time,
 ,0.02, ,2e-04, ,0.0271,
 ,0.0195, ,2e-04, ,0.0222,
 ,0.3326, ,3e-04, ,0.967,
 ,0.0243, ,4e-04, ,0.0286,
 ,0.0391, ,3e-04, ,0.0369,
 ,0.0226, ,3e-04, ,0.0217,
 ,0.0184, ,5e-04, ,0.0202,
 ,0.186, ,2e-04, ,0.3487,
 ,0.1645, ,6e-04, ,0.2319,
 ,0.0178, ,2e-04, ,0.0232,
 ,0.2791, ,3e-04, ,0.3986,
 ,0.0187, ,6e-04, ,0.0229,
 ,0.0205, ,2e-04, ,0.0223,
 ,0.0203, ,3e-04, ,0.0219,
 ,0.4227, ,3e-04, ,0.4921,
 ,0.0235, ,3e-04, ,0.0317,
 ,0.0386, ,3e-04, ,0.0354,
 ,0.0203, ,3e-04, ,0.0229,
 ,0.0208, ,2e-04, ,0.0189,
 ,0.1122, ,3e-04, ,0.3253,
 ,0.2412, ,3e-04, ,0.3148,
 ,0.0174, ,3e-04, ,0.0194,
 ,0.2719, ,2e-04, ,0.2716,
 ,0.0177, ,0.0016, ,0.0179,
 ,0.0204, ,3e-04, ,0.02,
 ,0.0199, ,2e-04, ,0.0225,
 ,0.357, ,3e-04, ,0.4015,
 ,0.0206, ,3e-04, ,0.0247,
 ,0.0383, ,2e-04, ,0.0326,
 ,0.0183, ,3e-04, ,0.0214,
 ,0.0183, ,3e-04, ,0.0192,
 ,0.213, ,3e-04, ,0.1071,
 ,0.607, ,3e-04, ,0.2031,
 ,0.0192, ,3e-04, ,0.0171,
 ,0.2346, ,3e-04, ,0.2282,
 ,0.021, ,6e-04, ,0.0171,
 ,0.0203, ,5e-04, ,0.0199,
 ,0.0197, ,2e-04, ,0.0196,
 ,0.3243, ,5e-04, ,0.415,
 ,0.0249, ,6e-04, ,0.0252,
 ,0.0347, ,5e-04, ,0.0329,
 ,0.0183, ,4e-04, ,0.0197,
 ,0.0181, ,4e-04, ,0.0184,
 ,0.1858, ,3e-04, ,0.1674,
 ,0.1447, ,5e-04, ,0.1386,
 ,0.0167, ,6e-04, ,0.0181,
 ,0.2392, ,5e-04, ,0.2589,
 ,0.018, ,0.0012, ,0.018,
 ,0.0222, ,5e-04, ,0.0202,
 ,0.0211, ,4e-04, ,0.023,
 ,0.3531, ,5e-04, ,0.7013,
 ,0.025, ,4e-04, ,0.0567,
 ,0.0342, ,3e-04, ,0.0432,
 ,0.0196, ,3e-04, ,0.0221,
 ,0.0187, ,3e-04, ,0.0199,
 ,0.1213, ,3e-04, ,0.1149,
 ,0.2293, ,4e-04, ,0.27,
 ,0.0181, ,2e-04, ,0.0208,
 ,0.2696, ,3e-04, ,0.2645,
 ,0.018, ,3e-04, ,0.018,
 ,0.0208, ,3e-04, ,0.0224,
 ,0.0203, ,3e-04, ,0.0245,
 ,0.3433, ,3e-04, ,0.3786,
 ,0.0255, ,0.0012, ,0.0222,
 ,0.0356, ,2e-04, ,0.1226,
 ,0.02, ,4e-04, ,0.0176,
 ,0.0196, ,7e-04, ,0.0188,
 ,0.2264, ,6e-04, ,0.1047,
 ,0.164, ,6e-04, ,0.185,
 ,0.0167, ,5e-04, ,0.0234,
 ,0.486, ,4e-04, ,0.2336,
 ,0.0188, ,9e-04, ,0.0199,
 ,0.0194, ,3e-04, ,0.0204,
 ,0.0194, ,2e-04, ,0.0214,
 ,0.3659, ,3e-04, ,0.3279,
 ,0.0244, ,4e-04, ,0.2163,
 ,0.2729, ,2e-04, ,0.2748,
 ,0.0187, ,3e-04, ,0.0207,
 ,0.0184, ,4e-04, ,0.0184,
 ,0.1092, ,3e-04, ,0.1588,
 ,0.2645, ,3e-04, ,0.1443,
 ,0.0166, ,4e-04, ,0.0176,
 ,0.2635, ,3e-04, ,0.2523,
 ,0.0185, ,0.0013, ,0.017,
 ,0.019, ,3e-04, ,0.0212,
 ,0.0213, ,3e-04, ,0.0221,
 ,0.3619, ,3e-04, ,0.3874,
 ,0.0241, ,7e-04, ,0.0228,
 ,0.0746, ,2e-04, ,0.0315,
 ,0.0174, ,2e-04, ,0.0186,
 ,0.0209, ,3e-04, ,0.0174,
 ,0.1105, ,3e-04, ,0.0959,
 ,0.2182, ,3e-04, ,0.2205,
 ,0.0204, ,3e-04, ,0.018,
 ,0.2586, ,3e-04, ,0.1985,
 ,0.0237, ,4e-04, ,0.0168,
 ,0.0192, ,2e-04, ,0.0227,
 ,0.0202, ,3e-04, ,0.0221,
 ,0.3301, ,4e-04, ,0.2964,
 ,0.0235, ,6e-04, ,0.0182,
 ,0.0359, ,6e-04, ,0.0314,
 ,0.0193, ,5e-04, ,0.0317,
 ,0.0244, ,4e-04, ,0.0196,
 ,0.1844, ,2e-04, ,0.1498,
 ,0.1548, ,3e-04, ,0.1864,
 ,0.0172, ,3e-04, ,0.0562,
 ,0.2891, ,3e-04, ,0.5226,
 ,0.0605, ,4e-04, ,0.0243,
 ,0.0212, ,3e-04, ,0.021,
 ,0.02, ,5e-04, ,0.0235,
 ,0.3907, ,3e-04, ,0.3568,
 ,0.0227, ,0.001, ,0.0277,
 ,0.0829, ,2e-04, ,0.0354,
 ,0.0229, ,3e-04, ,0.0224,
 ,0.023, ,4e-04, ,0.0189,
 ,0.1144, ,2e-04, ,0.1227,
 ,0.2487, ,3e-04, ,0.1394,
 ,0.0173, ,3e-04, ,0.0183,
 ,0.2691, ,6e-04, ,0.2636,
 ,0.0179, ,7e-04, ,0.0181,
 ,0.0193, ,3e-04, ,0.0192,
 ,0.0201, ,3e-04, ,0.0218,
 ,0.3662, ,5e-04, ,0.3563,
 ,0.0198, ,0.0014, ,0.0256,
 ,0.1231, ,3e-04, ,0.0311,
 ,0.0173, ,3e-04, ,0.0204,
