Arbrook,Model Switch Time,BGFX,Model Switch Time,Native,Model Switch Time,
 ,0.0195, ,3e-04, ,0.0202,
 ,0.0232, ,4e-04, ,0.0243,
 ,0.3378, ,3e-04, ,0.3564,
 ,0.0208, ,3e-04, ,0.0248,
 ,0.0345, ,3e-04, ,0.0328,
 ,0.0188, ,4e-04, ,0.0199,
 ,0.0193, ,4e-04, ,0.0191,
 ,0.2187, ,5e-04, ,0.108,
 ,0.1821, ,3e-04, ,0.1785,
 ,0.0186, ,3e-04, ,0.0195,
 ,0.2401, ,2e-04, ,0.2361,
 ,0.0209, ,3e-04, ,0.0174,
 ,0.0198, ,3e-04, ,0.0192,
 ,0.0227, ,4e-04, ,0.0227,
 ,0.3269, ,4e-04, ,0.3244,
 ,0.0216, ,4e-04, ,0.0257,
 ,0.0344, ,2e-04, ,0.0339,
 ,0.0188, ,4e-04, ,0.0224,
 ,0.0183, ,4e-04, ,0.0184,
 ,0.1255, ,4e-04, ,0.1372,
 ,0.2979, ,3e-04, ,0.1719,
 ,0.0178, ,3e-04, ,0.0245,
 ,0.2834, ,2e-04, ,0.3243,
 ,0.0186, ,4e-04, ,0.0192,
 ,0.0199, ,3e-04, ,0.0231,
 ,0.0263, ,4e-04, ,0.0229,
 ,0.4049, ,5e-04, ,0.425,
 ,0.0215, ,5e-04, ,0.0264,
 ,0.0342, ,2e-04, ,0.0363,
 ,0.019, ,6e-04, ,0.0223,
 ,0.0189, ,5e-04, ,0.0191,
 ,0.1421, ,5e-04, ,0.1174,
 ,0.1955, ,3e-04, ,0.244,
 ,0.0176, ,3e-04, ,0.0176,
 ,0.2662, ,2e-04, ,0.2518,
 ,0.0175, ,3e-04, ,0.0179,
 ,0.0258, ,4e-04, ,0.0203,
 ,0.0214, ,9e-04, ,0.0226,
 ,0.3363, ,4e-04, ,0.3457,
 ,0.0204, ,4e-04, ,0.0193,
 ,0.0343, ,2e-04, ,0.1231,
 ,0.0185, ,5e-04, ,0.0205,
 ,0.0182, ,4e-04, ,0.019,
 ,0.2046, ,6e-04, ,0.1182,
 ,0.1586, ,5e-04, ,0.1999,
 ,0.0176, ,4e-04, ,0.0222,
 ,0.7677, ,2e-04, ,0.2347,
 ,0.0193, ,3e-04, ,0.0226,
 ,0.0196, ,4e-04, ,0.0194,
 ,0.0214, ,4e-04, ,0.0218,
 ,0.3867, ,3e-04, ,0.321,
 ,0.0243, ,4e-04, ,0.2198,
 ,0.0342, ,1e-04, ,0.0312,
 ,0.0184, ,4e-04, ,0.0247,
 ,0.0182, ,5e-04, ,0.0184,
 ,0.5745, ,4e-04, ,0.2369,
 ,0.2583, ,4e-04, ,0.1458,
 ,0.0175, ,3e-04, ,0.0186,
 ,0.2477, ,2e-04, ,0.2743,
 ,0.0181, ,4e-04, ,0.0186,
 ,0.0195, ,4e-04, ,0.0197,
 ,0.0207, ,4e-04, ,0.0223,
 ,0.3794, ,4e-04, ,0.3373,
 ,0.0282, ,3e-04, ,0.0245,
 ,0.0332, ,2e-04, ,0.0344,
 ,0.0197, ,5e-04, ,0.0243,
 ,0.0182, ,5e-04, ,0.0196,
 ,0.1453, ,4e-04, ,0.1185,
 ,0.3121, ,4e-04, ,0.2454,
 ,0.0185, ,3e-04, ,0.0194,
 ,0.2443, ,6e-04, ,0.2546,
 ,0.0184, ,5e-04, ,0.0179,
 ,0.02, ,6e-04, ,0.0201,
 ,0.0258, ,5e-04, ,0.0235,
 ,0.3512, ,6e-04, ,0.3601,
 ,0.0276, ,5e-04, ,0.0208,
 ,0.0363, ,4e-04, ,0.0348,
 ,0.0187, ,6e-04, ,0.02,
 ,0.0183, ,5e-04, ,0.0184,
 ,0.1912, ,6e-04, ,0.2037,
 ,0.1623, ,5e-04, ,0.1846,
 ,0.0163, ,6e-04, ,0.0229,
 ,0.3069, ,4e-04, ,0.2368,
 ,0.0177, ,5e-04, ,0.02,
 ,0.0214, ,5e-04, ,0.0203,
 ,0.0215, ,5e-04, ,0.0233,
 ,0.3738, ,6e-04, ,0.3917,
 ,0.0235, ,5e-04, ,0.058,
 ,0.0342, ,2e-04, ,0.2825,
 ,0.0179, ,6e-04, ,0.0197,
 ,0.0188, ,5e-04, ,0.0187,
 ,0.111, ,5e-04, ,0.1451,
 ,0.2476, ,5e-04, ,0.1824,
 ,0.0165, ,7e-04, ,0.02,
 ,0.2546, ,5e-04, ,0.2674,
 ,0.0171, ,6e-04, ,0.0173,
 ,0.0197, ,4e-04, ,0.0198,
 ,0.0213, ,5e-04, ,0.0232,
 ,0.3647, ,4e-04, ,0.3736,
 ,0.0207, ,4e-04, ,0.0212,
 ,0.1225, ,2e-04, ,0.0328,
 ,0.0177, ,6e-04, ,0.02,
 ,0.0188, ,8e-04, ,0.0179,
 ,0.1134, ,7e-04, ,0.1068,
 ,0.1935, ,6e-04, ,0.231,
 ,0.0207, ,5e-04, ,0.0222,
 ,0.2727, ,4e-04, ,0.2228,
 ,0.0182, ,5e-04, ,0.0182,
 ,0.0236, ,3e-04, ,0.0193,
 ,0.0213, ,5e-04, ,0.0209,
 ,0.5769, ,4e-04, ,0.311,
 ,0.0196, ,4e-04, ,0.0204,
 ,0.0349, ,2e-04, ,0.0319,
 ,0.0185, ,6e-04, ,0.0186,
 ,0.0179, ,4e-04, ,0.0177,
 ,0.1667, ,5e-04, ,0.1298,
 ,0.1892, ,4e-04, ,0.1574,
 ,0.0204, ,3e-04, ,0.0182,
 ,0.2936, ,7e-04, ,0.292,
 ,0.0182, ,3e-04, ,0.0214,
 ,0.0203, ,6e-04, ,0.0203,
 ,0.0218, ,4e-04, ,0.0247,
 ,0.4118, ,4e-04, ,0.421,
 ,0.0208, ,4e-04, ,0.0223,
 ,0.0383, ,2e-04, ,0.0346,
 ,0.0189, ,4e-04, ,0.02,
 ,0.0183, ,5e-04, ,0.0175,
 ,0.3233, ,4e-04, ,0.1099,
 ,0.2351, ,4e-04, ,0.25,
 ,0.0173, ,3e-04, ,0.0198,
 ,0.2717, ,5e-04, ,0.2741,
 ,0.0178, ,3e-04, ,0.0187,
 ,0.0187, ,4e-04, ,0.021,
 ,0.0212, ,6e-04, ,0.0217,
 ,0.3424, ,4e-04, ,0.3658,
 ,0.0198, ,6e-04, ,0.0261,
 ,0.0353, ,4e-04, ,0.0399,
 ,0.0193, ,6e-04, ,0.0202,
 ,0.0182, ,6e-04, ,0.0186,
 ,0.2117, ,5e-04, ,0.1081,
 ,0.1827, ,5e-04, ,0.1728,
 ,0.0207, ,4e-04, ,0.0183,
 ,0.7588, ,4e-04, ,0.2344,
 ,0.0246, ,3e-04, ,0.0185,
 ,0.0193, ,5e-04, ,0.0204,
 ,0.0219, ,6e-04, ,0.0212,
 ,0.3192, ,5e-04, ,0.3132,
 ,0.0235, ,4e-04, ,0.0212,
 ,0.0408, ,2e-04, ,0.0335,
 ,0.0281, ,4e-04, ,0.0203,
 ,0.0209, ,6e-04, ,0.0181,
 ,0.2273, ,5e-04, ,0.1852,
 ,0.2687, ,5e-04, ,0.4193,
 ,0.0199, ,3e-04, ,0.0191,
 ,0.4238, ,3e-04, ,0.2955,
 ,0.0211, ,3e-04, ,0.0178,
 ,0.0235, ,4e-04, ,0.0201,
 ,0.0267, ,4e-04, ,0.0234,
 ,0.6376, ,5e-04, ,0.3967,
 ,0.0302, ,4e-04, ,0.0248,
 ,0.0424, ,2e-04, ,0.0364,
 ,0.0255, ,4e-04, ,0.0216,
 ,0.03, ,3e-04, ,0.0183,
 ,0.1934, ,5e-04, ,0.1076,
 ,0.3144, ,4e-04, ,0.2505,
 ,0.0189, ,2e-04, ,0.0185,
 ,0.3975, ,4e-04, ,0.2421,
 ,0.0197, ,3e-04, ,0.0172,
 ,0.0205, ,4e-04, ,0.0265,
 ,0.0264, ,5e-04, ,0.0237,
 ,0.5692, ,5e-04, ,0.347,
 ,0.0244, ,7e-04, ,0.0204,
 ,0.0492, ,3e-04, ,0.1271,
 ,0.0203, ,6e-04, ,0.0181,
 ,0.0186, ,5e-04, ,0.0222,
 ,0.2264, ,6e-04, ,0.1096,
 ,0.2198, ,5e-04, ,0.1949,
 ,0.0178, ,3e-04, ,0.0283,
 ,0.3658, ,2e-04, ,0.2378,
 ,0.019, ,4e-04, ,0.0219,
 ,0.0196, ,4e-04, ,0.0205,
 ,0.0227, ,4e-04, ,0.0212,
 ,0.4521, ,4e-04, ,0.3109,
 ,0.0246, ,4e-04, ,0.0595,
 ,0.0347, ,2e-04, ,0.2966,
 ,0.0188, ,4e-04, ,0.0195,
 ,0.0182, ,3e-04, ,0.0182,
 ,0.1171, ,4e-04, ,0.1613,
 ,0.2882, ,4e-04, ,0.145,
 ,0.0176, ,3e-04, ,0.0182,
 ,0.2786, ,3e-04, ,0.2685,
 ,0.0171, ,3e-04, ,0.0176,
 ,0.0205, ,4e-04, ,0.0189,
 ,0.0251, ,4e-04, ,0.0214,
 ,0.6859, ,4e-04, ,0.3661,
 ,0.0234, ,4e-04, ,0.026,
 ,0.0354, ,2e-04, ,0.0332,
 ,0.0185, ,4e-04, ,0.0206,
 ,0.0179, ,3e-04, ,0.0187,
 ,0.1096, ,4e-04, ,0.1074,
 ,0.1989, ,3e-04, ,0.2212,
 ,0.0172, ,3e-04, ,0.0179,
 ,0.278, ,2e-04, ,0.2348,
 ,0.0179, ,3e-04, ,0.0175,
 ,0.0296, ,6e-04, ,0.0213,
 ,0.1344, ,5e-04, ,0.0221,
 ,0.7046, ,4e-04, ,0.3119,
 ,0.023, ,3e-04, ,0.0196,
 ,0.0354, ,2e-04, ,0.0329,
 ,0.0193, ,5e-04, ,0.0187,
 ,0.0185, ,4e-04, ,0.0177,
 ,0.1997, ,5e-04, ,0.2037,
 ,0.1911, ,6e-04, ,0.1758,
 ,0.0175, ,4e-04, ,0.0229,
 ,1.0881, ,2e-04, ,0.2275,
 ,0.0203, ,4e-04, ,0.0215,
 ,0.021, ,4e-04, ,0.0194,
 ,0.023, ,5e-04, ,0.0215,
 ,0.4475, ,5e-04, ,0.3069,
 ,0.0257, ,4e-04, ,0.2354,
 ,0.0415, ,3e-04, ,0.032,
 ,0.0193, ,4e-04, ,0.0194,
 ,0.0205, ,4e-04, ,0.0198,
 ,0.1149, ,5e-04, ,0.1542,
 ,0.2701, ,5e-04, ,0.18,
 ,0.0174, ,3e-04, ,0.0177,
 ,0.3121, ,1e-04, ,0.2621,
 ,0.0183, ,3e-04, ,0.0185,
 ,0.0208, ,3e-04, ,0.0192,
 ,0.023, ,6e-04, ,0.0207,
 ,0.374, ,3e-04, ,0.3716,
 ,0.0204, ,4e-04, ,0.0211,
 ,0.1149, ,2e-04, ,0.0338,
 ,0.0171, ,4e-04, ,0.0212,
 ,0.0208, ,4e-04, ,0.0193,
 ,0.11, ,4e-04, ,0.1066,
 ,0.1916, ,4e-04, ,0.2086,
 ,0.0211, ,3e-04, ,0.0195,
 ,0.2676, ,3e-04, ,0.2287,
 ,0.0193, ,3e-04, ,0.0171,
 ,0.0205, ,4e-04, ,0.0201,
 ,0.0226, ,6e-04, ,0.022,
 ,0.344, ,4e-04, ,0.3223,
 ,0.0227, ,4e-04, ,0.0199,
 ,0.0346, ,2e-04, ,0.0327,
 ,0.0216, ,4e-04, ,0.019,
 ,0.0184, ,5e-04, ,0.018,
 ,0.433, ,5e-04, ,0.1926,
 ,0.2473, ,6e-04, ,0.3495,
 ,0.0229, ,3e-04, ,0.0191,
 ,0.6243, ,2e-04, ,0.3014,
 ,0.0204, ,4e-04, ,0.0192,
 ,0.0239, ,3e-04, ,0.0207,
 ,0.0242, ,4e-04, ,0.0219,
 ,0.4505, ,4e-04, ,0.3951,
 ,0.0261, ,3e-04, ,0.023,
 ,0.0397, ,2e-04, ,0.0327,
 ,0.0186, ,4e-04, ,0.0211,
 ,0.0205, ,3e-04, ,0.0177,
 ,0.1492, ,5e-04, ,0.1062,
 ,0.2449, ,4e-04, ,0.2442,
 ,0.0168, ,3e-04, ,0.0177,
 ,0.3138, ,2e-04, ,0.255,
 ,0.0179, ,3e-04, ,0.0175,
 ,0.0205, ,4e-04, ,0.0193,
 ,0.0227, ,4e-04, ,0.0204,
 ,0.4128, ,3e-04, ,0.3415,
 ,0.0219, ,3e-04, ,0.0209,
 ,0.0379, ,2e-04, ,0.0317,
 ,0.0189, ,5e-04, ,0.0208,
 ,0.0179, ,4e-04, ,0.0185,
 ,0.2102, ,5e-04, ,0.1069,
 ,0.2007, ,4e-04, ,0.1897,
 ,0.0193, ,3e-04, ,0.0592,
 ,0.6313, ,2e-04, ,0.2421,
 ,0.0235, ,3e-04, ,0.0175,
 ,0.0202, ,3e-04, ,0.0214,
 ,0.0223, ,5e-04, ,0.0226,
 ,0.3519, ,4e-04, ,0.3197,
 ,0.0255, ,3e-04, ,0.0239,
 ,0.0352, ,2e-04, ,0.2605,
 ,0.0193, ,4e-04, ,0.0205,
 ,0.0189, ,3e-04, ,0.0177,
 ,0.1679, ,6e-04, ,0.1659,
 ,0.1545, ,3e-04, ,0.1506,
 ,0.0173, ,7e-04, ,0.0233,
 ,0.8149, ,3e-04, ,0.3138,
 ,0.0177, ,4e-04, ,0.0189,
 ,0.0204, ,4e-04, ,0.0203,
 ,0.0219, ,6e-04, ,0.0246,
 ,0.4094, ,5e-04, ,0.4045,
 ,0.0348, ,4e-04, ,0.0209,
 ,0.0342, ,2e-04, ,0.0479,
 ,0.0194, ,4e-04, ,0.021,
 ,0.0185, ,3e-04, ,0.0187,
 ,0.1087, ,5e-04, ,0.1084,
 ,0.2437, ,4e-04, ,0.2435,
 ,0.0182, ,3e-04, ,0.0184,
 ,0.2916, ,1e-04, ,0.2371,
 ,0.018, ,3e-04, ,0.0174,
 ,0.02, ,3e-04, ,0.0203,
 ,0.0276, ,6e-04, ,0.0209,
 ,0.3708, ,3e-04, ,0.3132,
 ,0.0252, ,3e-04, ,0.0198,
 ,0.0384, ,2e-04, ,0.1146,
 ,0.0193, ,4e-04, ,0.017,
 ,0.0182, ,3e-04, ,0.0178,
 ,0.2015, ,4e-04, ,0.1107,
 ,0.1636, ,6e-04, ,0.1718,
 ,0.0173, ,3e-04, ,0.0227,
 ,0.8405, ,2e-04, ,0.2412,
 ,0.0196, ,5e-04, ,0.018,
 ,0.019, ,4e-04, ,0.0206,
 ,0.022, ,6e-04, ,0.0214,
 ,0.4399, ,4e-04, ,0.3113,
 ,0.0248, ,3e-04, ,0.0226,
 ,0.0379, ,2e-04, ,0.0343,
 ,0.0191, ,5e-04, ,0.0227,
 ,0.0186, ,4e-04, ,0.0183,
 ,0.1077, ,4e-04, ,0.164,
 ,0.2658, ,4e-04, ,0.1416,
 ,0.0173, ,3e-04, ,0.0177,
 ,0.2475, ,2e-04, ,0.2604,
 ,0.0177, ,5e-04, ,0.0179,
 ,0.0291, ,4e-04, ,0.0204,
 ,0.0221, ,4e-04, ,0.0566,
 ,0.3684, ,4e-04, ,0.3836,
 ,0.0254, ,5e-04, ,0.0222,
 ,0.034, ,2e-04, ,0.0331,
 ,0.0182, ,5e-04, ,0.0194,
 ,0.0183, ,4e-04, ,0.0183,
 ,0.1085, ,5e-04, ,0.1146,
 ,0.1793, ,4e-04, ,0.2261,
 ,0.0163, ,3e-04, ,0.0178,
 ,0.2594, ,3e-04, ,0.2507,
 ,0.0174, ,4e-04, ,0.0196,
 ,0.0187, ,3e-04, ,0.0212,
 ,0.0228, ,5e-04, ,0.0229,
 ,0.3284, ,3e-04, ,0.33,
 ,0.0209, ,3e-04, ,0.0239,
 ,0.0392, ,2e-04, ,0.033,
 ,0.019, ,4e-04, ,0.0232,
 ,0.0206, ,4e-04, ,0.0193,
 ,0.1765, ,5e-04, ,0.4995,
 ,0.166, ,3e-04, ,0.1902,
 ,0.0168, ,3e-04, ,0.0226,
 ,0.4565, ,3e-04, ,0.2357,
 ,0.0559, ,3e-04, ,0.0202,
 ,0.0192, ,4e-04, ,0.0196,
 ,0.0216, ,5e-04, ,0.0219,
 ,0.3921, ,3e-04, ,0.3205,
 ,0.0261, ,4e-04, ,0.0552,
 ,0.035, ,2e-04, ,0.0334,
 ,0.0212, ,4e-04, ,0.0208,
 ,0.0263, ,4e-04, ,0.0187,
 ,0.1124, ,5e-04, ,0.1262,
 ,0.2467, ,4e-04, ,0.1686,
 ,0.0171, ,3e-04, ,0.0196,
 ,0.7813, ,2e-04, ,0.2276,
 ,0.0196, ,3e-04, ,0.0182,
 ,0.0194, ,3e-04, ,0.0188,
 ,0.0221, ,4e-04, ,0.022,
 ,0.3823, ,4e-04, ,0.3613,
 ,0.0194, ,4e-04, ,0.0244,
 ,0.1155, ,2e-04, ,0.0327,
 ,0.0174, ,4e-04, ,0.0203,
 ,0.0182, ,5e-04, ,0.0181,
 ,0.1172, ,7e-04, ,0.1074,
 ,0.2143, ,4e-04, ,0.2121,
 ,0.0207, ,2e-04, ,0.0181,
 ,0.2771, ,1e-04, ,0.2368,
 ,0.0181, ,2e-04, ,0.0177,
 ,0.0197, ,3e-04, ,0.0192,
 ,0.0211, ,4e-04, ,0.0217,
 ,0.3326, ,4e-04, ,0.3105,
 ,0.0199, ,4e-04, ,0.019,
 ,0.0347, ,2e-04, ,0.2582,
 ,0.0189, ,4e-04, ,0.0206,
 ,0.0181, ,3e-04, ,0.019,
 ,0.1383, ,4e-04, ,0.2282,
 ,0.148, ,4e-04, ,0.1468,
 ,0.0165, ,2e-04, ,0.0193,
 ,0.2712, ,2e-04, ,0.3014,
 ,0.0178, ,4e-04, ,0.0203,
 ,0.0212, ,3e-04, ,0.0209,
 ,0.0204, ,5e-04, ,0.0227,
 ,0.3704, ,4e-04, ,0.4529,
 ,0.0843, ,5e-04, ,0.0213,
 ,0.2708, ,2e-04, ,0.035,
 ,0.0205, ,5e-04, ,0.0215,
 ,0.0276, ,5e-04, ,0.0186,
 ,0.1099, ,4e-04, ,0.1084,
 ,0.2373, ,4e-04, ,0.257,
 ,0.0176, ,3e-04, ,0.0181,
 ,0.2848, ,2e-04, ,0.2622,
 ,0.0181, ,3e-04, ,0.0181,
 ,0.0194, ,4e-04, ,0.0189,
 ,0.0223, ,5e-04, ,0.0244,
 ,0.3639, ,4e-04, ,0.3568,
 ,0.0194, ,4e-04, ,0.0229,
 ,0.0344, ,3e-04, ,0.0326,
 ,0.0254, ,4e-04, ,0.02,
 ,0.0196, ,4e-04, ,0.0184,
 ,0.2044, ,5e-04, ,0.1048,
 ,0.2331, ,3e-04, ,0.174,
 ,0.0189, ,3e-04, ,0.0177,
 ,0.2801, ,2e-04, ,0.4116,
 ,0.018, ,3e-04, ,0.0192,
 ,0.0197, ,3e-04, ,0.0198,
 ,0.0214, ,4e-04, ,0.023,
 ,0.3348, ,3e-04, ,0.3247,
 ,0.0218, ,4e-04, ,0.0252,
 ,0.0322, ,2e-04, ,0.0334,
 ,0.0181, ,4e-04, ,0.0187,
 ,0.0182, ,4e-04, ,0.018,
 ,0.1609, ,5e-04, ,0.1753,
 ,0.1366, ,4e-04, ,0.2813,
 ,0.0197, ,3e-04, ,0.0177,
 ,0.6553, ,2e-04, ,0.2873,
 ,0.0192, ,3e-04, ,0.0173,
 ,0.0196, ,4e-04, ,0.0225,
 ,0.021, ,4e-04, ,0.0214,
 ,0.4041, ,4e-04, ,0.3873,
 ,0.0225, ,4e-04, ,0.0206,
 ,0.0334, ,3e-04, ,0.0327,
 ,0.0182, ,5e-04, ,0.0207,
 ,0.0183, ,4e-04, ,0.0182,
 ,0.0976, ,6e-04, ,0.105,
 ,0.235, ,4e-04, ,0.2411,
 ,0.0179, ,3e-04, ,0.0744,
 ,0.2501, ,3e-04, ,0.3462,
 ,0.0178, ,3e-04, ,0.0204,
 ,0.0198, ,3e-04, ,0.0212,
 ,0.021, ,5e-04, ,0.0238,
 ,0.3211, ,4e-04, ,0.3833,
 ,0.02, ,3e-04, ,0.0233,
 ,0.0321, ,2e-04, ,0.3019,
 ,0.0223, ,6e-04, ,0.0222,
 ,0.0199, ,6e-04, ,0.0195,
 ,0.2276, ,4e-04, ,0.1223,
 ,0.1555, ,5e-04, ,0.1948,
 ,0.0167, ,3e-04, ,0.0246,
 ,0.304, ,2e-04, ,0.2403,
 ,0.0189, ,6e-04, ,0.0208,
 ,0.0215, ,3e-04, ,0.0202,
 ,0.0232, ,6e-04, ,0.0214,
 ,0.4277, ,4e-04, ,0.3224,
 ,0.0283, ,3e-04, ,0.0229,
 ,0.2911, ,1e-04, ,0.0325,
 ,0.0184, ,4e-04, ,0.0195,
 ,0.018, ,4e-04, ,0.0183,
 ,0.1109, ,5e-04, ,0.1695,
 ,0.2557, ,4e-04, ,0.1476,
 ,0.0172, ,3e-04, ,0.0174,
 ,0.2385, ,2e-04, ,0.2602,
 ,0.018, ,4e-04, ,0.0169,
 ,0.0204, ,3e-04, ,0.0195,
 ,0.0212, ,4e-04, ,0.0213,
 ,0.3843, ,5e-04, ,0.3595,
 ,0.0201, ,5e-04, ,0.0238,
 ,0.0365, ,2e-04, ,0.0322,
 ,0.0208, ,4e-04, ,0.0189,
 ,0.0186, ,4e-04, ,0.0173,
 ,0.0997, ,4e-04, ,0.1348,
 ,0.2099, ,4e-04, ,0.2254,
 ,0.0174, ,3e-04, ,0.0176,
 ,0.2472, ,2e-04, ,0.2257,
 ,0.0178, ,3e-04, ,0.017,
 ,0.0196, ,3e-04, ,0.02,
 ,0.0216, ,5e-04, ,0.0207,
 ,0.3271, ,3e-04, ,0.3057,
 ,0.0241, ,4e-04, ,0.0193,
 ,0.033, ,2e-04, ,0.0318,
 ,0.0182, ,4e-04, ,0.0193,
 ,0.0178, ,5e-04, ,0.0179,
 ,0.1965, ,5e-04, ,0.204,
 ,0.1394, ,5e-04, ,0.1827,
 ,0.0163, ,4e-04, ,0.0283,
 ,0.6053, ,2e-04, ,0.2372,
 ,0.0184, ,5e-04, ,0.0204,
 ,0.0194, ,3e-04, ,0.0728,
 ,0.0214, ,5e-04, ,0.0226,
 ,0.373, ,4e-04, ,0.3683,
 ,0.0223, ,4e-04, ,0.0232,
 ,0.0336, ,3e-04, ,0.0347,
 ,0.0181, ,4e-04, ,0.021,
 ,0.0186, ,3e-04, ,0.0184,
 ,0.1084, ,4e-04, ,0.1452,
 ,0.2621, ,3e-04, ,0.1499,
 ,0.0177, ,3e-04, ,0.0195,
 ,0.2733, ,2e-04, ,0.2797,
 ,0.0186, ,3e-04, ,0.0179,
 ,0.0207, ,3e-04, ,0.02,
 ,0.022, ,6e-04, ,0.023,
 ,0.3665, ,4e-04, ,0.3659,
 ,0.0205, ,5e-04, ,0.0234,
 ,0.1235, ,2e-04, ,0.0321,
 ,0.0169, ,6e-04, ,0.0205,
 ,0.0182, ,6e-04, ,0.0183,
 ,0.106, ,8e-04, ,0.1084,
 ,0.19, ,6e-04, ,0.3647,
 ,0.0205, ,3e-04, ,0.0192,
 ,0.2554, ,2e-04, ,0.2497,
 ,0.0182, ,5e-04, ,0.0193,
 ,0.0264, ,3e-04, ,0.0204,
 ,0.0209, ,3e-04, ,0.0222,
 ,0.5908, ,3e-04, ,0.4361,
 ,0.0258, ,4e-04, ,0.0244,
 ,0.0353, ,2e-04, ,0.0327,
 ,0.0202, ,4e-04, ,0.0194,
 ,0.0199, ,3e-04, ,0.0181,
 ,0.1835, ,5e-04, ,0.1978,
 ,0.14, ,3e-04, ,0.1472,
 ,0.0174, ,3e-04, ,0.0182,
 ,0.6284, ,2e-04, ,0.2919,
 ,0.0193, ,4e-04, ,0.0184,
 ,0.0199, ,5e-04, ,0.0242,
 ,0.0205, ,5e-04, ,0.0205,
 ,0.4126, ,4e-04, ,0.3986,
 ,0.0213, ,4e-04, ,0.0243,
 ,0.0334, ,2e-04, ,0.0334,
 ,0.019, ,6e-04, ,0.0208,
 ,0.0189, ,4e-04, ,0.0179,
 ,0.0963, ,8e-04, ,0.3217,
 ,0.2332, ,4e-04, ,0.2483,
 ,0.0165, ,3e-04, ,0.0179,
 ,0.2565, ,2e-04, ,0.2574,
 ,0.0171, ,3e-04, ,0.0181,
 ,0.0197, ,3e-04, ,0.0227,
 ,0.0209, ,5e-04, ,0.0215,
 ,0.3316, ,5e-04, ,0.3464,
 ,0.0183, ,3e-04, ,0.0547,
 ,0.032, ,2e-04, ,0.3715,
 ,0.0178, ,7e-04, ,0.0255,
 ,0.0181, ,5e-04, ,0.0196,
 ,0.6263, ,5e-04, ,0.109,
 ,0.4983, ,5e-04, ,0.1792,
 ,0.0186, ,5e-04, ,0.0179,
 ,0.2383, ,4e-04, ,0.2388,
 ,0.0295, ,5e-04, ,0.0195,
 ,0.0193, ,6e-04, ,0.0213,
 ,0.0225, ,5e-04, ,0.0225,
 ,0.3747, ,6e-04, ,0.3361,
 ,0.0202, ,5e-04, ,0.0241,
 ,0.0365, ,6e-04, ,0.0321,
 ,0.0209, ,6e-04, ,0.0203,
 ,0.0188, ,6e-04, ,0.0194,
 ,0.1508, ,6e-04, ,0.1704,
 ,0.1426, ,5e-04, ,0.1456,
 ,0.017, ,5e-04, ,0.018,
 ,0.2384, ,4e-04, ,0.2981,
 ,0.0177, ,6e-04, ,0.018,
 ,0.0198, ,5e-04, ,0.02,
 ,0.0212, ,5e-04, ,0.0229,
 ,0.3584, ,5e-04, ,0.3904,
 ,0.0257, ,5e-04, ,0.0216,
 ,0.0326, ,3e-04, ,0.0329,
 ,0.0201, ,6e-04, ,0.02,
 ,0.0358, ,4e-04, ,0.0183,
 ,0.0994, ,4e-04, ,0.1073,
 ,0.2285, ,4e-04, ,0.2482,
 ,0.0172, ,4e-04, ,0.0193,
 ,0.2631, ,3e-04, ,0.3546,
 ,0.0178, ,3e-04, ,0.0186,
 ,0.0206, ,4e-04, ,0.0195,
 ,0.022, ,4e-04, ,0.023,
 ,0.3359, ,4e-04, ,0.3139,
 ,0.023, ,5e-04, ,0.0193,
 ,0.0338, ,6e-04, ,0.1153,
 ,0.0187, ,6e-04, ,0.0212,
 ,0.0182, ,5e-04, ,0.019,
 ,0.21, ,6e-04, ,0.1185,
 ,0.1475, ,4e-04, ,0.1707,
 ,0.0173, ,4e-04, ,0.0561,
 ,0.641, ,4e-04, ,0.2507,
 ,0.0196, ,3e-04, ,0.0211,
 ,0.0192, ,4e-04, ,0.0196,
 ,0.021, ,7e-04, ,0.0259,
 ,0.4004, ,4e-04, ,0.3052,
 ,0.0236, ,4e-04, ,0.023,
 ,0.034, ,2e-04, ,0.0329,
 ,0.0185, ,4e-04, ,0.0198,
 ,0.0747, ,4e-04, ,0.0182,
 ,0.1011, ,7e-04, ,0.1652,
 ,0.268, ,5e-04, ,0.2035,
 ,0.0176, ,3e-04, ,0.0204,
 ,0.268, ,3e-04, ,0.3215,
 ,0.0183, ,3e-04, ,0.0185,
 ,0.0186, ,4e-04, ,0.0215,
 ,0.0208, ,6e-04, ,0.0223,
 ,0.4745, ,5e-04, ,0.4919,
 ,0.0245, ,5e-04, ,0.024,
 ,0.0484, ,3e-04, ,0.3017,
 ,0.019, ,5e-04, ,0.0234,
 ,0.0183, ,4e-04, ,0.0199,
 ,0.0985, ,5e-04, ,0.1529,
 ,0.2671, ,5e-04, ,0.295,
 ,0.0172, ,4e-04, ,0.0234,
 ,0.2458, ,2e-04, ,0.2937,
 ,0.0258, ,3e-04, ,0.023,
 ,0.0199, ,4e-04, ,0.0297,
 ,0.0212, ,4e-04, ,0.0232,
 ,0.4321, ,4e-04, ,0.397,
 ,0.0214, ,4e-04, ,0.0223,
 ,0.0342, ,2e-04, ,0.0386,
 ,0.0199, ,4e-04, ,0.0192,
 ,0.0181, ,4e-04, ,0.0183,
 ,0.1738, ,5e-04, ,0.2097,
 ,0.1446, ,4e-04, ,0.1957,
 ,0.0165, ,3e-04, ,0.0279,
 ,0.2785, ,1e-04, ,0.2538,
