Arbrook,FrameTime,SetupTime,DrawCallTime,BGFX,FrameTime,SetupTime,Native,FrameTime,SetupTime,
 ,0.0205, ,0.0028, ,3e-04, , ,3e-04, ,
 ,0.0208, ,0.0013, ,2e-04, , ,3e-04, ,
 ,0.0207, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0208, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0199, ,0.0028, ,2e-04, , ,3e-04, ,
 ,0.0206, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0204, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0213, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0203, ,0.0026, ,2e-04, , ,3e-04, ,
 ,0.0208, ,0.0011, ,2e-04, , ,2e-04, ,
 ,0.0205, ,0.001, ,2e-04, , ,2e-04, ,
 ,0.0207, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0201, ,0.0028, ,2e-04, , ,2e-04, ,
 ,0.0205, ,0.001, ,2e-04, , ,2e-04, ,
 ,0.0203, ,0.001, ,3e-04, , ,3e-04, ,
 ,0.0204, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0204, ,0.0029, ,2e-04, , ,2e-04, ,
 ,0.0204, ,0.0011, ,2e-04, , ,2e-04, ,
 ,0.0203, ,0.001, ,2e-04, , ,2e-04, ,
 ,0.0207, ,0.001, ,2e-04, , ,2e-04, ,
 ,0.0202, ,0.0026, ,2e-04, , ,3e-04, ,
 ,0.0213, ,0.0011, ,2e-04, , ,2e-04, ,
 ,0.028, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0207, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0206, ,0.0029, ,2e-04, , ,3e-04, ,
 ,0.0208, ,0.001, ,2e-04, , ,2e-04, ,
 ,0.0201, ,0.0011, ,2e-04, , ,2e-04, ,
 ,0.0203, ,0.001, ,2e-04, , ,4e-04, ,
 ,0.02, ,0.0027, ,2e-04, , ,3e-04, ,
 ,0.0208, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0221, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0215, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0261, ,0.0028, ,2e-04, , ,2e-04, ,
 ,0.0255, ,0.0011, ,3e-04, , ,3e-04, ,
 ,0.0208, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0214, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0205, ,0.0027, ,2e-04, , ,3e-04, ,
 ,0.0206, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0202, ,0.0011, ,3e-04, , ,3e-04, ,
 ,0.0206, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0199, ,0.0027, ,2e-04, , ,3e-04, ,
 ,0.0208, ,0.001, ,2e-04, , ,2e-04, ,
 ,0.0201, ,0.001, ,2e-04, , ,2e-04, ,
 ,0.0203, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0202, ,0.0028, ,2e-04, , ,3e-04, ,
 ,0.0203, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0201, ,0.0011, ,2e-04, , ,2e-04, ,
 ,0.0205, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0202, ,0.0027, ,3e-04, , ,3e-04, ,
 ,0.0204, ,0.001, ,3e-04, , ,3e-04, ,
 ,0.0204, ,0.001, ,3e-04, , ,3e-04, ,
 ,0.0207, ,0.001, ,3e-04, , ,3e-04, ,
 ,0.0199, ,0.0027, ,2e-04, , ,2e-04, ,
 ,0.0397, ,0.001, ,2e-04, , ,2e-04, ,
 ,0.0257, ,0.001, ,3e-04, , ,3e-04, ,
 ,0.0255, ,0.0011, ,3e-04, , ,3e-04, ,
 ,0.0198, ,0.0029, ,2e-04, , ,2e-04, ,
 ,0.0206, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0213, ,0.001, ,1e-04, , ,3e-04, ,
 ,0.0205, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.02, ,0.0027, ,1e-04, , ,3e-04, ,
 ,0.0204, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0202, ,0.001, ,2e-04, , ,4e-04, ,
 ,0.0204, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.02, ,0.0029, ,2e-04, , ,3e-04, ,
 ,0.0207, ,0.001, ,1e-04, , ,3e-04, ,
 ,0.0203, ,0.001, ,2e-04, , ,2e-04, ,
 ,0.0207, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0202, ,0.0028, ,2e-04, , ,2e-04, ,
 ,0.0204, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0203, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0206, ,0.001, ,1e-04, , ,3e-04, ,
 ,0.0202, ,0.0028, ,2e-04, , ,3e-04, ,
 ,0.0204, ,0.0011, ,2e-04, , ,2e-04, ,
 ,0.0205, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0206, ,0.0011, ,1e-04, , ,3e-04, ,
 ,0.0202, ,0.003, ,2e-04, , ,3e-04, ,
 ,0.0206, ,0.0013, ,2e-04, , ,2e-04, ,
 ,0.0199, ,0.0012, ,2e-04, , ,3e-04, ,
 ,0.0205, ,0.001, ,1e-04, , ,2e-04, ,
 ,0.0201, ,0.0029, ,1e-04, , ,2e-04, ,
 ,0.0262, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0198, ,0.0011, ,2e-04, , ,2e-04, ,
 ,0.0313, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0207, ,0.0028, ,2e-04, , ,2e-04, ,
 ,0.0208, ,0.0011, ,2e-04, , ,2e-04, ,
 ,0.0206, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0204, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0204, ,0.0029, ,1e-04, , ,2e-04, ,
 ,0.0208, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0203, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0205, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0201, ,0.0028, ,2e-04, , ,3e-04, ,
 ,0.0206, ,0.0011, ,2e-04, , ,2e-04, ,
 ,0.0201, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0205, ,0.0011, ,1e-04, , ,3e-04, ,
 ,0.0203, ,0.0029, ,2e-04, , ,3e-04, ,
 ,0.0205, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0203, ,0.0011, ,2e-04, , ,2e-04, ,
 ,0.0267, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.021, ,0.0029, ,2e-04, , ,3e-04, ,
 ,0.0209, ,0.0012, ,2e-04, , ,2e-04, ,
 ,0.0203, ,0.001, ,1e-04, , ,2e-04, ,
 ,0.0208, ,0.001, ,1e-04, , ,3e-04, ,
 ,0.0202, ,0.0027, ,2e-04, , ,3e-04, ,
 ,0.0203, ,0.0011, ,1e-04, , ,2e-04, ,
 ,0.0201, ,0.0011, ,1e-04, , ,3e-04, ,
 ,0.0202, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0201, ,0.0029, ,2e-04, , ,3e-04, ,
 ,0.0211, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0204, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0206, ,0.0011, ,2e-04, , ,2e-04, ,
 ,0.0203, ,0.0031, ,2e-04, , ,3e-04, ,
 ,0.0207, ,0.0015, ,2e-04, , ,3e-04, ,
 ,0.0203, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0204, ,0.001, ,1e-04, , ,3e-04, ,
 ,0.0199, ,0.003, ,2e-04, , ,2e-04, ,
 ,0.0207, ,0.0012, ,2e-04, , ,3e-04, ,
 ,0.02, ,0.0012, ,1e-04, , ,2e-04, ,
 ,0.0205, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0202, ,0.0029, ,2e-04, , ,3e-04, ,
 ,0.0208, ,0.0012, ,2e-04, , ,2e-04, ,
 ,0.0202, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0203, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0204, ,0.0029, ,1e-04, , ,3e-04, ,
 ,0.0205, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0202, ,0.001, ,2e-04, , ,2e-04, ,
 ,0.0206, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.02, ,0.0031, ,1e-04, , ,2e-04, ,
 ,0.0202, ,0.0011, ,2e-04, , ,2e-04, ,
 ,0.0201, ,0.0019, ,2e-04, , ,3e-04, ,
 ,0.0206, ,0.0021, ,2e-04, , ,2e-04, ,
 ,0.02, ,0.0031, ,2e-04, , ,2e-04, ,
 ,0.0204, ,0.0014, ,2e-04, , ,3e-04, ,
 ,0.0203, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0204, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0201, ,0.0037, ,2e-04, , ,3e-04, ,
 ,0.0206, ,0.0017, ,1e-04, , ,3e-04, ,
 ,0.0201, ,0.0013, ,1e-04, , ,2e-04, ,
 ,0.0203, ,0.0012, ,2e-04, , ,3e-04, ,
 ,0.0202, ,0.0028, ,2e-04, , ,3e-04, ,
 ,0.0206, ,0.0011, ,2e-04, , ,2e-04, ,
 ,0.026, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.025, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0245, ,0.0038, ,2e-04, , ,2e-04, ,
 ,0.0201, ,0.0019, ,2e-04, , ,3e-04, ,
 ,0.0261, ,0.0018, ,2e-04, , ,3e-04, ,
 ,0.0252, ,0.002, ,2e-04, , ,3e-04, ,
 ,0.0203, ,0.0031, ,1e-04, , ,2e-04, ,
 ,0.0204, ,0.0017, ,1e-04, , ,3e-04, ,
 ,0.0201, ,0.0012, ,2e-04, , ,2e-04, ,
 ,0.0203, ,0.0011, ,2e-04, , ,2e-04, ,
 ,0.0308, ,0.0028, ,2e-04, , ,2e-04, ,
 ,0.0205, ,0.0012, ,2e-04, , ,3e-04, ,
 ,0.021, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0207, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0202, ,0.0027, ,2e-04, , ,2e-04, ,
 ,0.0205, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0203, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0209, ,0.0011, ,1e-04, , ,2e-04, ,
 ,0.0201, ,0.003, ,1e-04, , ,2e-04, ,
 ,0.0207, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0204, ,0.001, ,1e-04, , ,3e-04, ,
 ,0.0205, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.02, ,0.0027, ,1e-04, , ,3e-04, ,
 ,0.0204, ,0.0011, ,1e-04, , ,4e-04, ,
 ,0.0201, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0205, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0202, ,0.0027, ,1e-04, , ,2e-04, ,
 ,0.0203, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0236, ,0.001, ,3e-04, , ,3e-04, ,
 ,0.0203, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0201, ,0.0027, ,2e-04, , ,2e-04, ,
 ,0.0207, ,0.0011, ,1e-04, , ,3e-04, ,
 ,0.0254, ,0.001, ,1e-04, , ,3e-04, ,
 ,0.0249, ,0.0011, ,2e-04, , ,2e-04, ,
 ,0.0248, ,0.0027, ,2e-04, , ,3e-04, ,
 ,0.0215, ,0.0011, ,2e-04, , ,2e-04, ,
 ,0.0258, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0435, ,0.001, ,1e-04, , ,3e-04, ,
 ,0.0285, ,0.0036, ,2e-04, , ,3e-04, ,
 ,0.0264, ,0.0016, ,1e-04, , ,3e-04, ,
 ,0.0201, ,0.0012, ,1e-04, , ,3e-04, ,
 ,0.0209, ,0.0012, ,2e-04, , ,3e-04, ,
 ,0.0283, ,0.0034, ,1e-04, , ,3e-04, ,
 ,0.0211, ,0.0014, ,2e-04, , ,2e-04, ,
 ,0.021, ,0.0013, ,2e-04, , ,3e-04, ,
 ,0.0204, ,0.0012, ,2e-04, , ,3e-04, ,
 ,0.0208, ,0.0034, ,1e-04, , ,3e-04, ,
 ,0.0205, ,0.0013, ,2e-04, , ,3e-04, ,
 ,0.0202, ,0.0013, ,2e-04, , ,3e-04, ,
 ,0.0205, ,0.0013, ,2e-04, , ,3e-04, ,
 ,0.0202, ,0.0033, ,2e-04, , ,3e-04, ,
 ,0.0205, ,0.0013, ,2e-04, , ,3e-04, ,
 ,0.0203, ,0.0013, ,2e-04, , ,3e-04, ,
 ,0.0206, ,0.0013, ,2e-04, , ,2e-04, ,
 ,0.02, ,0.0033, ,2e-04, , ,3e-04, ,
 ,0.0207, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0204, ,0.001, ,2e-04, , ,2e-04, ,
 ,0.0207, ,0.001, ,1e-04, , ,2e-04, ,
 ,0.0204, ,0.0027, ,1e-04, , ,3e-04, ,
 ,0.0207, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0202, ,0.0011, ,1e-04, , ,2e-04, ,
 ,0.0205, ,0.001, ,2e-04, , ,2e-04, ,
 ,0.0215, ,0.0028, ,2e-04, , ,3e-04, ,
 ,0.0209, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.022, ,0.001, ,2e-04, , ,2e-04, ,
 ,0.0209, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0202, ,0.0028, ,2e-04, , ,3e-04, ,
 ,0.0205, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0198, ,0.0011, ,1e-04, , ,3e-04, ,
 ,0.0205, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0211, ,0.0028, ,2e-04, , ,2e-04, ,
 ,0.0209, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0204, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0207, ,0.0011, ,1e-04, , ,4e-04, ,
 ,0.0205, ,0.0028, ,1e-04, , ,3e-04, ,
 ,0.0207, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0206, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.021, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0205, ,0.0029, ,2e-04, , ,3e-04, ,
 ,0.0209, ,0.0012, ,2e-04, , ,3e-04, ,
 ,0.0205, ,0.001, ,1e-04, , ,3e-04, ,
 ,0.0206, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0202, ,0.0031, ,2e-04, , ,3e-04, ,
 ,0.0218, ,0.0016, ,3e-04, , ,3e-04, ,
 ,0.0206, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0211, ,0.001, ,2e-04, , ,2e-04, ,
 ,0.0203, ,0.0029, ,3e-04, , ,3e-04, ,
 ,0.0206, ,0.0012, ,3e-04, , ,2e-04, ,
 ,0.0208, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0211, ,0.001, ,3e-04, , ,3e-04, ,
 ,0.0202, ,0.0029, ,2e-04, , ,2e-04, ,
 ,0.0207, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0201, ,0.001, ,3e-04, , ,3e-04, ,
 ,0.0204, ,0.001, ,3e-04, , ,3e-04, ,
 ,0.0203, ,0.0029, ,2e-04, , ,3e-04, ,
 ,0.0209, ,0.0011, ,2e-04, , ,2e-04, ,
 ,0.0203, ,0.001, ,2e-04, , ,2e-04, ,
 ,0.0206, ,0.001, ,2e-04, , ,2e-04, ,
 ,0.0201, ,0.0029, ,2e-04, , ,2e-04, ,
 ,0.0203, ,0.0011, ,2e-04, , ,3e-04, ,
 ,0.0204, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0204, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.02, ,0.0028, ,2e-04, , ,3e-04, ,
 ,0.0208, ,0.0011, ,2e-04, , ,2e-04, ,
 ,0.0204, ,0.001, ,2e-04, , ,2e-04, ,
 ,0.0205, ,0.0012, ,2e-04, , ,2e-04, ,
 ,0.0205, ,0.0029, ,2e-04, , ,3e-04, ,
 ,0.0205, ,0.0011, ,1e-04, , ,3e-04, ,
 ,0.0201, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0208, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0266, ,0.0029, ,2e-04, , ,3e-04, ,
 ,0.0209, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0202, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0206, ,0.001, ,1e-04, , ,3e-04, ,
 ,0.0289, ,0.0029, ,2e-04, , ,6e-04, ,
 ,0.0207, ,0.0011, ,2e-04, , ,5e-04, ,
 ,0.0212, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0214, ,0.001, ,1e-04, , ,4e-04, ,
 ,0.0204, ,0.0037, ,1e-04, , ,5e-04, ,
 ,0.0204, ,0.0016, ,1e-04, , ,5e-04, ,
 ,0.0204, ,0.0015, ,1e-04, , ,5e-04, ,
 ,0.0206, ,0.0012, ,1e-04, , ,4e-04, ,
 ,0.0201, ,0.0034, ,2e-04, , ,4e-04, ,
 ,0.0208, ,0.0014, ,2e-04, , ,3e-04, ,
 ,0.02, ,0.0013, ,2e-04, , ,3e-04, ,
 ,0.0203, ,0.0012, ,2e-04, , ,2e-04, ,
 ,0.0202, ,0.0033, ,2e-04, , ,3e-04, ,
 ,0.0207, ,0.0014, ,2e-04, , ,3e-04, ,
 ,0.0206, ,0.0012, ,2e-04, , ,3e-04, ,
 ,0.0208, ,0.0013, ,2e-04, , ,3e-04, ,
 ,0.02, ,0.0039, ,2e-04, , ,3e-04, ,
 ,0.0206, ,0.002, ,2e-04, , ,3e-04, ,
 ,0.0202, ,0.0013, ,2e-04, , ,2e-04, ,
 ,0.0205, ,0.0013, ,1e-04, , ,4e-04, ,
 ,0.0202, ,0.003, ,2e-04, , ,3e-04, ,
 ,0.0207, ,0.0013, ,1e-04, , ,3e-04, ,
 ,0.0201, ,0.001, ,2e-04, , ,3e-04, ,
 ,0.0205, ,0.001, ,2e-04, , ,3e-04, ,
