Arbrook,FrameTime,SetupTime,DrawCallTime,BGFX,FrameTime,SetupTime,Native,FrameTime,SetupTime,
 ,0.0162, ,0.0018, ,1e-04, , ,4e-04, ,
 ,0.0153, ,5e-04, ,2e-04, , ,3e-04, ,
 ,0.0214, ,3e-04, ,2e-04, , ,3e-04, ,
 ,0.0231, ,4e-04, ,1e-04, , ,4e-04, ,
 ,0.0154, ,0.0015, ,3e-04, , ,4e-04, ,
 ,0.0152, ,4e-04, ,3e-04, , ,4e-04, ,
 ,0.0151, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.015, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0152, ,0.0014, ,2e-04, , ,4e-04, ,
 ,0.0152, ,4e-04, ,2e-04, , ,4e-04, ,
 ,0.015, ,3e-04, ,1e-04, , ,4e-04, ,
 ,0.015, ,3e-04, ,2e-04, , ,3e-04, ,
 ,0.0151, ,0.0013, ,2e-04, , ,4e-04, ,
 ,0.015, ,3e-04, ,2e-04, , ,3e-04, ,
 ,0.015, ,3e-04, ,1e-04, , ,4e-04, ,
 ,0.0149, ,3e-04, ,2e-04, , ,3e-04, ,
 ,0.0151, ,0.0015, ,1e-04, , ,4e-04, ,
 ,0.0151, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0152, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.015, ,3e-04, ,2e-04, , ,3e-04, ,
 ,0.0152, ,0.0014, ,1e-04, , ,4e-04, ,
 ,0.015, ,3e-04, ,1e-04, , ,3e-04, ,
 ,0.0152, ,3e-04, ,1e-04, , ,4e-04, ,
 ,0.0151, ,3e-04, ,1e-04, , ,3e-04, ,
 ,0.015, ,0.0015, ,2e-04, , ,4e-04, ,
 ,0.0151, ,4e-04, ,2e-04, , ,4e-04, ,
 ,0.0152, ,3e-04, ,1e-04, , ,4e-04, ,
 ,0.0149, ,3e-04, ,1e-04, , ,4e-04, ,
 ,0.0151, ,0.0015, ,2e-04, , ,4e-04, ,
 ,0.0151, ,3e-04, ,2e-04, , ,3e-04, ,
 ,0.015, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0152, ,2e-04, ,2e-04, , ,4e-04, ,
 ,0.0151, ,0.0015, ,2e-04, , ,4e-04, ,
 ,0.0151, ,4e-04, ,2e-04, , ,4e-04, ,
 ,0.0149, ,3e-04, ,1e-04, , ,4e-04, ,
 ,0.0152, ,2e-04, ,2e-04, , ,4e-04, ,
 ,0.015, ,0.0014, ,1e-04, , ,4e-04, ,
 ,0.015, ,3e-04, ,1e-04, , ,4e-04, ,
 ,0.0151, ,3e-04, ,1e-04, , ,4e-04, ,
 ,0.0151, ,3e-04, ,2e-04, , ,3e-04, ,
 ,0.015, ,0.0015, ,2e-04, , ,4e-04, ,
 ,0.0151, ,4e-04, ,1e-04, , ,4e-04, ,
 ,0.0152, ,3e-04, ,2e-04, , ,3e-04, ,
 ,0.0152, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0151, ,0.0014, ,2e-04, , ,4e-04, ,
 ,0.0151, ,3e-04, ,1e-04, , ,4e-04, ,
 ,0.015, ,3e-04, ,1e-04, , ,4e-04, ,
 ,0.015, ,3e-04, ,2e-04, , ,3e-04, ,
 ,0.0151, ,0.0014, ,2e-04, , ,4e-04, ,
 ,0.0151, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0151, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.015, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0191, ,0.0013, ,2e-04, , ,3e-04, ,
 ,0.0223, ,3e-04, ,1e-04, , ,4e-04, ,
 ,0.0151, ,3e-04, ,1e-04, , ,3e-04, ,
 ,0.0217, ,3e-04, ,1e-04, , ,4e-04, ,
 ,0.0156, ,0.0014, ,2e-04, , ,4e-04, ,
 ,0.0152, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0157, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0154, ,2e-04, ,2e-04, , ,4e-04, ,
 ,0.0151, ,0.0014, ,2e-04, , ,4e-04, ,
 ,0.0154, ,4e-04, ,1e-04, , ,4e-04, ,
 ,0.0152, ,3e-04, ,2e-04, , ,5e-04, ,
 ,0.0151, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0152, ,0.0014, ,2e-04, , ,4e-04, ,
 ,0.0152, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.015, ,3e-04, ,2e-04, , ,3e-04, ,
 ,0.0151, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0151, ,0.0014, ,2e-04, , ,4e-04, ,
 ,0.0149, ,4e-04, ,2e-04, , ,4e-04, ,
 ,0.0152, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.015, ,3e-04, ,2e-04, , ,3e-04, ,
 ,0.0152, ,0.0014, ,2e-04, , ,4e-04, ,
 ,0.015, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.015, ,3e-04, ,1e-04, , ,4e-04, ,
 ,0.0151, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0151, ,0.0015, ,1e-04, , ,4e-04, ,
 ,0.0152, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0151, ,3e-04, ,1e-04, , ,3e-04, ,
 ,0.015, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0152, ,0.0014, ,2e-04, , ,4e-04, ,
 ,0.0151, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.015, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.015, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.015, ,0.0014, ,1e-04, , ,3e-04, ,
 ,0.0151, ,4e-04, ,2e-04, , ,4e-04, ,
 ,0.0153, ,2e-04, ,2e-04, , ,4e-04, ,
 ,0.0151, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0149, ,0.0014, ,2e-04, , ,4e-04, ,
 ,0.015, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0151, ,3e-04, ,2e-04, , ,3e-04, ,
 ,0.0153, ,3e-04, ,2e-04, , ,3e-04, ,
 ,0.0151, ,0.0014, ,2e-04, , ,4e-04, ,
 ,0.015, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0149, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.015, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0151, ,0.0014, ,1e-04, , ,4e-04, ,
 ,0.0152, ,4e-04, ,2e-04, , ,4e-04, ,
 ,0.015, ,3e-04, ,1e-04, , ,4e-04, ,
 ,0.015, ,3e-04, ,2e-04, , ,3e-04, ,
 ,0.0151, ,0.0013, ,1e-04, , ,4e-04, ,
 ,0.015, ,4e-04, ,2e-04, , ,4e-04, ,
 ,0.0151, ,3e-04, ,2e-04, , ,3e-04, ,
 ,0.0151, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.015, ,0.0014, ,2e-04, , ,3e-04, ,
 ,0.0164, ,3e-04, ,2e-04, , ,3e-04, ,
 ,0.028, ,3e-04, ,2e-04, , ,3e-04, ,
 ,0.0161, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0154, ,0.0014, ,2e-04, , ,4e-04, ,
 ,0.0153, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.015, ,3e-04, ,1e-04, , ,3e-04, ,
 ,0.0152, ,2e-04, ,2e-04, , ,4e-04, ,
 ,0.015, ,0.0014, ,1e-04, , ,4e-04, ,
 ,0.0151, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0154, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.015, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0151, ,0.0014, ,1e-04, , ,3e-04, ,
 ,0.015, ,4e-04, ,2e-04, , ,4e-04, ,
 ,0.015, ,3e-04, ,1e-04, , ,3e-04, ,
 ,0.015, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0151, ,0.0014, ,2e-04, , ,5e-04, ,
 ,0.0151, ,4e-04, ,2e-04, , ,4e-04, ,
 ,0.015, ,3e-04, ,1e-04, , ,3e-04, ,
 ,0.015, ,3e-04, ,2e-04, , ,3e-04, ,
 ,0.0151, ,0.0014, ,2e-04, , ,4e-04, ,
 ,0.0151, ,4e-04, ,2e-04, , ,3e-04, ,
 ,0.0152, ,3e-04, ,2e-04, , ,3e-04, ,
 ,0.0151, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.015, ,0.0014, ,1e-04, , ,3e-04, ,
 ,0.0151, ,4e-04, ,2e-04, , ,4e-04, ,
 ,0.0151, ,3e-04, ,2e-04, , ,4e-04, ,
 ,0.0152, ,3e-04, ,1e-04, , ,4e-04, ,
 ,0.0151, ,0.0023, ,2e-04, , ,4e-04, ,
 ,0.0151, ,8e-04, ,2e-04, , ,4e-04, ,
 ,0.0151, ,5e-04, ,1e-04, , ,4e-04, ,
 ,0.015, ,4e-04, ,2e-04, , ,4e-04, ,
 ,0.015, ,0.0018, ,1e-04, , ,4e-04, ,
 ,0.0151, ,7e-04, ,1e-04, , ,4e-04, ,
 ,0.0152, ,6e-04, ,1e-04, , ,4e-04, ,
 ,0.0149, ,6e-04, ,2e-04, , ,4e-04, ,
